id,vote,name,party, 113, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 
265,1,Yea,"Rep. Jack Bergman [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
266,13,Yea,"Rep. Ted Budd [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,
267,2,Yea,"Rep. Don Bacon [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
268,5,Yea,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,
269,3,Yea,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,
270,13,Yea,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,
271,22,Nay,"Rep. Claudia Tenney [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
272,1,Yea,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
273,11,Yea,"Rep. Lloyd Smucker [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
274,8,Nay,"Rep. David Kustoff [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
275,15,Yea,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,
276,19,Nay,"Rep. Jodey Arrington [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
277,4,Yea,"Rep. Donald McEachin [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,
278,7,Yea,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,
279,8,Yea,"Rep. Mike Gallagher [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
280,0,Yea,"Rep. Liz Cheney [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,
281,4,Nay,"Rep. Ron Estes [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
282,5,Nay,"Rep. Ralph Norman [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
283,34,Yea,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,
284,3,Yea,"Rep. John Curtis [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
285,17,Yea,"Rep. Conor Lamb [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,
286,8,Nay,"Rep. Debbie Lesko [R, 2018-2024]",Republican,,,,,,,,,,,,,,,,
287,27,Nay,"Rep. Michael Cloud [R, 2018-2024]",Republican,,,,,,,,,,,,,,,,
288,12,Yea,"Rep. Troy Balderson [R, 2018-2024]",Republican,,,,,,,,,,,,,,,,
289,1,Nay,"Rep. Kevin Hern [R, 2018-2024]",Republican,,,,,,,,,,,,,,,,
290,25,Yea,"Rep. Joseph Morelle [D, 2018-2024]",Democrat,,,,,,,,,,,,,,,,
291,5,Yea,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
292,7,Yea,"Rep. Susan Wild [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
293,9,Yea,"Rep. Greg Stanton [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,
294,10,Yea,"Rep. Josh Harder [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,
295,45,Yea,"Rep. Katie Porter [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,
296,49,Yea,"Rep. Mike Levin [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
297,2,Yea,"Rep. Joe Neguse [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
298,6,Yea,"Rep. Jason Crow [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
299,5,Yea,"Rep. Jahana Hayes [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
300,6,Yea,"Rep. Michael Waltz [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
301,17,Nay,"Rep. Gregory Steube [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
302,6,Yea,"Rep. Lucy McBath [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,
303,3,Yea,"Rep. Cynthia Axne [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,
304,1,Nay,"Rep. Russ Fulcher [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
305,4,Yea,"Rep. Jesús “Chuy” García [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
306,6,Yea,"Rep. Sean Casten [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
307,14,Yea,"Rep. Lauren Underwood [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
308,4,Yea,"Rep. James Baird [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
309,6,Nay,"Rep. Greg Pence [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
310,3,Yea,"Rep. Sharice Davids [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
311,3,Yea,"Rep. Lori Trahan [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
312,7,Yea,"Rep. Ayanna Pressley [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
313,6,Yea,"Rep. David Trone [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
314,8,Yea,"Rep. Elissa Slotkin [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,
315,9,Yea,"Rep. Andy Levin [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,
316,11,Yea,"Rep. Haley Stevens [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
317,13,Nay,"Rep. Rashida Tlaib [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,
318,2,Yea,"Rep. Angie Craig [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
319,3,Yea,"Rep. Dean Phillips [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
320,5,Nay,"Rep. Ilhan Omar [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
321,8,Nay,"Rep. Pete Stauber [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
322,3,Nay,"Rep. Michael Guest [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
323,0,Yea,"Rep. Kelly Armstrong [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
324,1,Yea,"Rep. Chris Pappas [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
325,2,Nay,"Rep. Jefferson Van Drew [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
326,3,Yea,"Rep. Andy Kim [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
327,7,Yea,"Rep. Tom Malinowski [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,
328,11,Yea,"Rep. Mikie Sherrill [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
329,3,Yea,"Rep. Susie Lee [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
330,14,Nay,"Rep. Alexandria Ocasio-Cortez [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
331,16,Yea,"Rep. Anthony Gonzalez [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,
332,4,Yea,"Rep. Madeleine Dean [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
333,6,Yea,"Rep. Chrissy Houlahan [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
334,9,Yea,"Rep. Daniel Meuser [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
335,13,Yea,"Rep. John Joyce [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
336,14,Yea,"Rep. Guy Reschenthaler [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
337,4,Yea,"Rep. William Timmons [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
338,0,Yea,"Rep. Dusty Johnson [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
339,2,Yea,"Rep. Tim Burchett [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
340,6,Nay,"Rep. John W. Rose [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
341,7,Yea,"Rep. Mark E. Green [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
342,2,Nay,"Rep. Dan Crenshaw [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
343,3,Yea,"Rep. Van Taylor [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,
344,5,Yea,"Rep. Lance Gooden [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
345,7,Yea,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
346,16,Yea,"Rep. Veronica Escobar [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
347,21,Nay,"Rep. Chip Roy [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
348,29,Yea,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
349,32,Yea,"Rep. Colin Allred [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
350,2,Yea,"Rep. Elaine Luria [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,
351,6,Nay,"Rep. Ben Cline [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
352,7,Yea,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
353,10,Yea,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
354,8,Yea,"Rep. Kim Schrier [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
355,1,Yea,"Rep. Bryan Steil [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
356,3,Yea,"Rep. Carol Miller [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,
357,2,Yea,"Rep. Jared Golden [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
358,12,Yea,"Rep. Fred Keller [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,
359,9,Nay,"Rep. Dan Bishop [R, 2019-2022]",Republican,,,,,,,,,,,,,,,,
360,3,Yea,"Rep. Gregory Murphy [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
361,7,Nay,"Rep. Thomas Tiffany [R, 2020-2024]",Republican,,,,,,,,,,,,,,,,
362,25,Yea,"Rep. Mike Garcia [R, 2020-2022]",Republican,,,,,,,,,,,,,,,,
363,27,Yea,"Rep. Chris Jacobs [R, 2020-2022]",Republican,,,,,,,,,,,,,,,,
364,1,Yea,"Rep. Jerry Carl [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
365,2,Yea,"Rep. Barry Moore [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
366,8,Yea,"Rep. Jay Obernolte [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
367,39,Yea,"Rep. Young Kim [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
368,48,Yea,"Rep. Michelle Steel [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
369,53,Yea,"Rep. Sara Jacobs [D, 2021-2022]",Democrat,,,,,,,,,,,,,,,,
370,3,Nay,"Rep. Lauren Boebert [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
371,3,Nay,"Rep. Katherine “Kat” Cammack [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
372,15,Nay,"Rep. Scott Franklin [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
373,19,Nay,"Rep. Byron Donalds [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
374,26,Nay,"Rep. Carlos Gimenez [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
375,27,Yea,"Rep. Maria Salazar [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
376,5,Yea,"Rep. Nikema Williams [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,
377,7,Yea,"Rep. Carolyn Bourdeaux [D, 2021-2022]",Democrat,,,,,,,,,,,,,,,,
378,9,Nay,"Rep. Andrew Clyde [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
379,14,Nay,"Rep. Marjorie Taylor Greene [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
380,2,Yea,"Rep. Kaialiʻi Kahele [D, 2021-2022]",Democrat,,,,,,,,,,,,,,,,
381,1,Nay,"Rep. Ashley Hinson [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
382,2,Yea,"Rep. Mariannette Miller-Meeks [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
383,4,Nay,"Rep. Randy Feenstra [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
384,3,Yea,"Rep. Marie Newman [D, 2021-2022]",Democrat,,,,,,,,,,,,,,,,
385,15,Nay,"Rep. Mary Miller [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
386,1,Yea,"Rep. Frank Mrvan [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,
387,5,Nay,"Rep. Victoria Spartz [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
388,1,Nay,"Rep. Tracey Mann [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
389,2,Yea,"Rep. Jacob “Jake” LaTurner [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
390,4,Yea,"Rep. Jake Auchincloss [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,
391,3,Yea,"Rep. Peter Meijer [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
392,10,Yea,"Rep. Lisa McClain [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
393,7,Yea,"Rep. Michelle Fischbach [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
394,1,Nay,"Rep. Cori Bush [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,
395,0,Nay,"Rep. Matthew Rosendale [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
396,2,Yea,"Rep. Deborah Ross [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,
397,6,Yea,"Rep. Kathy Manning [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,
398,11,Yea,"Rep. Madison Cawthorn [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
399,2,Yea,"Rep. Yvette Herrell [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
400,3,Yea,"Rep. Teresa Leger Fernandez [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,
401,2,Yea,"Rep. Andrew Garbarino [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
402,11,Yea,"Rep. Nicole Malliotakis [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
403,15,Yea,"Rep. Ritchie Torres [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,
404,16,Nay,"Rep. Jamaal Bowman [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,
405,17,Yea,"Rep. Mondaire Jones [D, 2021-2022]",Democrat,,,,,,,,,,,,,,,,
406,5,Yea,"Rep. Stephanie Bice [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
407,2,Nay,"Rep. Cliff Bentz [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
408,1,Yea,"Rep. Nancy Mace [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
409,1,Yea,"Rep. Diana Harshbarger [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
410,4,Yea,"Rep. Patrick “Pat” Fallon [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
411,11,Nay,"Rep. August Pfluger [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
412,13,Nay,"Rep. Ronny Jackson [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
413,22,Nay,"Rep. Troy Nehls [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
414,23,Yea,"Rep. Ernest “Tony” Gonzales [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
415,24,Nay,"Rep. Beth Van Duyne [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
416,1,Yea,"Rep. Blake Moore [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
417,4,Yea,"Rep. Clarence “Burgess” Owens [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
418,5,Nay,"Rep. Robert “Bob” Good [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
419,10,Yea,"Rep. Marilyn Strickland [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,
420,5,Nay,"Rep. Scott Fitzgerald [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
421,5,Yea,"Rep. Julia Letlow [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
422,2,Yea,"Rep. Troy Carter [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,
423,1,Yea,"Rep. Melanie Stansbury [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,
424,6,Nay,"Rep. Jake Ellzey [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
425,11,Yea,"Rep. Shontel Brown [D, 2021-2024]",Democrat,,,,,,,,,,,,,,,,
426,15,Nay,"Rep. Mike Carey [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
427,20,Yea,"Rep. Sheila Cherfilus-McCormick [D, 2022-2024]",Democrat,,,,,,,,,,,,,,,,
428,22,Nay,"Rep. Connie Conway [R, 2022-2022]",Republican,,,,,,,,,,,,,,,,
429,34,Yea,"Rep. Mayra Flores [R, 2022-2022]",Republican,,,,,,,,,,,,,,,,
430,1,Yea,"Rep. Mike Flood [R, 2022-2024]",Republican,,,,,,,,,,,,,,,,
